№,Name,URL,Category,Address,Description,Phone,Working Hours,Amenities,Social Media,Prices,Extras
1,Volta-futbol meýdançasy,https://yakyn.biz/b/volta-futbol-meydancasy-3619,Futbol meýdançasy we toparlary,"30-njy mkr, ""Ak Altyn"" oteliň arkasy, Aşgabat","Uly meýdança 200 m, kiçi 30 m. Töwereginde market bar.",+99361 291444,Duş-Ýek 19:00-23:00,"Awtoduralga; Futbol geýimleri (nakidka) we top",Instagram: volta_turkmenistan; TikTok: volta_turkmenista,,360° virtual tour
2,Seljuk-çagalar futbol topary,https://yakyn.biz/b/seljuk-cagalar-futbol-topary-3620,Tälimçi / Futbol meýdançasy we toparlary,"Bomako köçesi (1934), Aşgabat","Çagalar futbol akademiýasy, 4-13 ýaş. Mekdep we şäher derejesinde ýaryşlar.",+99371 951952,—,—,Instagram: fcseljuk; TikTok: fcseljuk,,
3,Dostluk ýyldyzy futbol kluby,https://yakyn.biz/b/dostluk-yyldyzy-futbol-kluby-3767,Futbol kluby / Tälimçi,"Medeniýet institutynyň arka tarapynda, Aşgabat","Dynamo Moskwa-nyň resmi hyzmatdaşy. 2012-2019 d.ý. çagalar. Lew Ýaşin akademiýasynyň usuly. Ilkinji türgenleşik MUGT.",+99363 507799,—,—,Instagram: @dostlukyyldyzlary_fcdm; TikTok: @dostlukyyldyzlary_fcdm,Ilkinji türgenleşik mugt,
4,Arslan futbol kluby,https://yakyn.biz/b/arslan-futbol-kluby-3768,Tälimçi / Futbol meýdançasy we toparlary,"11 mkr, Aşgabat","6 ýaşdan 15 ýaşa çenli çagalar üçin.",+99365 160803,—,—,TikTok: @arslan.futbol.klub,,
5,Ak säher futbol kluby,https://yakyn.biz/b/ak-saher-futbol-kluby-3769,Tälimçi / Futbol meýdançasy we toparlary,—,"Professional tälimçiler we döwrebap türgenleşik ulgamy. 7-16 ýaş. Halkara ýaryşlara mümkinçilik.",+99365 802770,—,—,Instagram: @ak_shaher; TikTok: @ak_shaher.fc,,
6,Garagum sport kluby,https://yakyn.biz/b/garagum-sport-kluby-3770,Futbol meýdançasy we toparlary / Tälimçi,—,Sport kluby we tälimçilik.,+99365 698063,—,—,TikTok: @fc.garagum,,
7,Altyn täç futbol kluby,https://yakyn.biz/b/altyn-tac-futbol-kluby-4786,Futbol meýdançasy we toparlary,—,"5-17 ýaş, gyzlar toparyny hem öz içine alýar.",+99361 937895,—,—,Instagram: fc_altyntach,,
8,Futbol meýdançasy (Şewçenko),https://yakyn.biz/b/futbol-meydancasy-sewcenko-5284,Futbol meýdançasy we toparlary,"Görogly köçesi (Şewçenko), Baýramhan seýilgähiň gapdaly, Aşgabat","Uly meýdança 200 m, kiçi 130 m. Töwereginde market bar.",+99363 355762,Duş-Ýek 08:00-23:00,"Futbol geýimleri (nakidka) we top",,,360° virtual tour
9,Futbol meýdançasy (Bamako k.),https://yakyn.biz/b/futbol-meydancasy-bamako-k-5285,Futbol meýdançasy we toparlary,"1914 köçe (Bamako), 4 mkr, seýilgähiň gapdaly, Aşgabat",Sport meýdança.,+99364 380289,Duş-Ýek 08:00-23:00,"Futbol geýimleri (nakidka) we top; Bar",,1 sag: 200-250 m,360° virtual tour
10,Futbol meýdançasy (Dosaff),https://yakyn.biz/b/futbol-meydancasy-dosaff-5286,Futbol meýdançasy we toparlary,"Dosaf, Oguzhan köç. (Aýtakow) golaýy, Aşgabat",Sport meýdança.,+99364 191164 / +99362 540249,—,"Futbol geýimleri (nakidka) we top; Bar",,,360° virtual tour
